Dataset,Model,Average MLAE,Std MLAE,Confidence Interval (95%)
Task_10,gpt4o,0.96,1.72,3.35
Task_10,CustomLLaMA,1.07,1.77,3.44
Task_10,GeminiProVision,1.08,1.21,2.35
Task_10,Gemini1_5Flash,1.11,1.22,2.37
Task_10,LLaMA,1.29,2.03,3.94
Task_100,LLaMA,1.07,1.94,3.78
Task_100,Gemini1_5Flash,1.14,1.28,2.48
Task_100,CustomLLaMA,1.25,1.58,3.06
Task_100,GeminiProVision,1.3,1.16,2.25
Task_100,gpt4o,1.31,1.33,2.59
Task_1000,CustomLLaMA,0.78,2.13,4.13
Task_1000,GeminiProVision,0.79,1.86,3.61
Task_1000,gpt4o,0.91,1.48,2.88
Task_1000,Gemini1_5Flash,1.19,1.22,2.36
Task_1000,LLaMA,4.15,4.94,9.6
